42,4.1,4.51,0.81,0.36,3.51,0.49,0.09,0.12,3.13,1.54,0.70998,7.619,0.60048,0.0218,0.02317,0.01204,0.00154,0.01399,0.22109,0.00393,0.00726,0.06727,0.00141,0.00299,0.02033,0.00122,0.03295,58
42,4.1,5.15,0.71,0.38,3.59,0.68,0.1,0.13,3.84,1.5,0.74897,7.642,0.63736,0.02136,0.00706,0.01184,0.00136,0.01492,0.2317,0.00396,0.00724,0.07519,0.00155,0.00306,0.02326,0.00278,0.03394,68
41,4.37,5.41,0.81,0.36,3.83,0.66,0.09,0.13,4.15,1.62,0.68873,7.805,0.64864,0.01922,0.01992,0.01298,0.00133,0.01444,0.25367,0.0043,0.01001,0.07374,0.00154,0.00303,0.02208,0.00399,0.03343,74
41,4.39,5.03,0.73,0.31,3.85,0.54,0.09,0.12,3.34,1.89,0.66011,8.05,0.60577,0.01298,0.0104,0.01612,0.00187,0.01416,0.25852,0.00506,0.01197,0.06888,0.00179,0.00314,0.02142,0.00899,0.03307,80
46,,,,,,,,,3.5,2.31,0.68166,8.753,0.6133,0.00499,0.01107,0.01946,0.00153,0.0126,0.24925,0.00624,0.01292,0.06076,0.00221,0.00323,0.02244,0.0098,0.0333,81
47,,,,,,,,,3.31,1.93,0.62391,9.259,0.61965,0,0.0077,0.01702,0.00152,0.01243,0.21672,0.00574,0.01133,0.05753,0.00234,0.00306,0.03719,0.00593,0.03742,85
47,5.47,4.89,0.96,0.21,4.49,0.65,0.07,0.07,4.42,1.81,0.5201,9.096,0.62508,0,0.00846,0.01422,0.0016,0.01257,0.21842,0.00531,0.01217,0.05416,0.00206,0.00297,0.05082,0.00816,0.04049,72
47,5.58,5.11,1.23,0.15,4.92,0.55,0.06,0.06,4.09,2.06,0.70043,8.902,0.59033,0,0.00782,0.01237,0.00139,0.0111,0.21162,0.00421,0.01355,0.05141,0.00178,0.00268,0.05879,0.01091,0.03881,74
45,5.66,5.39,1.33,0.14,5.13,0.62,0.05,0.05,3.66,1.81,0.77686,8.449,0.55162,0,0.00604,0.01106,0.00123,0.01034,0.17281,0.00374,0.01231,0.04868,0.00163,0.00236,0.05607,0.00674,0.03726,72
45,5.63,5.65,1.2,0.13,5.06,0.64,0.05,0.05,3.45,1.62,1.005,8.513,0.60078,0,0.00654,0.01334,0.00135,0.00965,0.16298,0.00424,0.01907,0.04795,0.00061,0.00227,0.05598,0.00539,0.03876,66
54,5.67,5.97,1.53,0.14,5.42,0.7,0.05,0.05,3.94,2.03,0.8159,9.09,0.57606,0,0.00694,0.01332,0.00119,0.01022,0.16852,0.00419,0.01184,0.05299,0.00243,0.00245,0.12276,0.00627,0.04255,74
54,5.62,6.11,2.3,0.1,5.87,0.55,0.04,0.07,3.77,1.45,0.77317,9.161,0.56722,0,0.0063,0.01373,0.00138,0.01047,0.16551,0.00422,0.01136,0.05481,0.00245,0.00252,0.15798,0.00625,0.04408,73
51,,,,,,,,,3.9,1.54,0.66487,8.533,0.56411,0,0.00668,0.01529,0.00101,0.00972,0.14939,0.00458,0.00967,0.05194,0.00241,0.00244,0.11704,0.00176,0.0413,74
51,5.06,6.28,1.32,0.17,5.15,0.55,0.04,0.04,3.84,1.58,0.75067,8.782,0.57445,0,0.00514,0.01688,0.00114,0.01078,0.16135,0.00517,0.00965,0.05867,0.0025,0.00296,0.08714,0.00284,0.0421,73
64,6.39,10.31,1.01,0.16,6.8,0.58,0.04,0.05,5.24,1.96,0.82796,9.834,0.70537,0,0.00583,0.01775,0.00169,0.01305,0.18041,0.0059,0.00935,0.07758,0.00226,0.00397,0.04707,0.00255,0.04414,98
64,6.72,11.6,1.11,0.14,7.32,0.72,0.04,0.05,5.7,2.4,0.71568,9.571,0.68747,0,0.0084,0.01683,0.00153,0.01343,0.24181,0.00563,0.01532,0.07868,0.00293,0.00382,0.05461,0.01156,0.04423,89
86,7.18,13.25,1.08,0.17,8.06,0.66,0.06,0.06,6.11,2.72,0.83672,10.266,0.80349,0,0.00921,0.01522,0.00236,0.01878,0.28835,0.0053,0.01723,0.10144,0.00346,0.0045,0.05162,0.00934,0.04892,101
99,8,16.01,1.17,0.23,8.9,0.56,0.06,0.11,6.64,3.04,0.77377,11.627,0.94759,0.00612,0.00992,0.01463,0.00279,0.02563,0.35841,0.00554,0.01732,0.15299,0.00394,0.0054,0.05303,0.00616,0.05637,118
90,8.69,17.48,1.69,0.21,9.91,0.62,0.05,0.1,8.77,3.62,0.871,12.224,0.9785,0.0033,0.00952,0.01513,0.00572,0.02495,0.34294,0.00691,0.01575,0.15801,0.0047,0.00585,0.04901,0.00467,0.07219,126
95,8.25,15.35,1.2,0.21,8.6,0.64,0.05,0.11,7.77,3.1,0.78026,12.399,1.05,0.01948,0.01151,0.01479,0.00301,0.0279,0.34225,0.00561,0.01571,0.16951,0.00383,0.0061,0.04827,0.00381,0.05984,118
100,8.35,14.93,0.82,0.25,8.52,0.79,0.07,0.16,8.14,3.22,0.91278,12.971,1.121,0.02383,0.01135,0.01353,0.00306,0.02912,0.3575,0.00577,0.01606,0.17242,0.00485,0.00655,0.05034,0.00464,0.06289,128
100,8.98,16.09,0.85,0.23,9.03,0.71,0.07,0.16,8.63,3.48,0.91743,14.247,1.219,0.03147,0.01973,0.01329,0.00375,0.03058,0.37352,0.00566,0.01726,0.165,0.00603,0.00698,0.05688,0.00496,0.06916,135
95,9.54,16.07,0.8,0.25,9.2,0.72,0.07,0.2,8.35,3.63,0.97683,14.484,1.22,0.03257,0.01423,0.0127,0.00335,0.03063,0.37572,0.00512,0.01859,0.15832,0.00609,0.00686,0.0574,0.00516,0.06992,136
96,,,,,,,,,8.2,4.09,0.91817,15.231,1.268,0.03206,0.01926,0.01272,0.0035,0.03258,0.40105,0.00534,0.02017,0.17078,0.00665,0.00746,0.06304,0.00623,0.07449,145
95,8.68,14.53,0.83,0.2,8.55,0.79,0.06,0.17,8.21,3.86,0.8532,14.302,1.252,0.01985,0.01494,0.01213,0.00364,0.03191,0.42484,0.00553,0.0231,0.16506,0.00603,0.00733,0.05928,0.01116,0.07253,137
125,,,,,,,,,10.51,4.36,0.88385,14.355,1.36,0.00576,0.01516,0.015,0.00439,0.03967,0.45593,0.00656,0.02084,0.1971,0.00553,0.0074,0.04528,0.00584,0.07309,167
122,9.93,23.17,1.03,0.19,11.46,0.71,0.08,0.14,11.1,4.03,0.87766,14.949,1.463,0.00394,0.01362,0.01314,0.00482,0.0419,0.46384,0.00693,0.02045,0.20658,0.00579,0.00772,0.04134,0.00489,0.0742,170
110,9.99,23.43,0.93,0.19,11.41,0.74,0.09,0.14,10.65,3.95,0.96622,14.987,1.46,0.00568,0.01228,0.01191,0.00493,0.03961,0.4295,0.0064,0.01764,0.1973,0.00586,0.00768,0.0388,0.00599,0.0739,171
110,10.48,20.9,0.84,0.19,11.12,0.87,0.08,0.15,9.26,3.96,0.9143,15.243,1.507,0.00731,0.01215,0.01075,0.00492,0.03785,0.40203,0.00573,0.01639,0.19845,0.00589,0.00792,0.03746,0.00425,0.07708,148
130,9.98,18.87,0.78,0.16,10.01,0.81,0.06,0.15,10.28,4.2,0.92938,16.135,1.614,0.00719,0.01347,0.01084,0.00542,0.03858,0.41413,0.0055,0.01668,0.20471,0.00691,0.0088,0.03799,0.00405,0.08325,155
133,12.3,23.34,1.24,0.2,12.35,0.9,0.06,0.18,10.94,4.29,1.055,18.445,1.863,0,0.01374,0.01045,0.00591,0.04057,0.43059,0.00539,0.02334,0.21278,0.00863,0.00991,0.03798,0.00391,0.097,179
132,12.57,22.95,1.16,0.2,12.49,0.96,0.05,0.18,11,4.79,0.9011,19.07,1.841,0.0088,0.01366,0.00917,0.00559,0.04019,0.42675,0.00495,0.01612,0.21437,0.01024,0.01043,0.037,0.00474,0.10069,182
133,14,24.94,1.24,0.22,13.33,0.97,0.05,0.2,10.83,4.7,0.84566,18.913,1.83,0.01071,0.01435,0.00893,0.00582,0.03983,0.42465,0.00472,0.01624,0.21566,0.0098,0.01031,0.03609,0.00468,0.09922,190
132,13.66,25.29,1.25,0.22,13.71,0.85,0.05,0.2,10.28,4.38,0.88705,18.831,1.761,0.00901,0.01337,0.00832,0.00519,0.03852,0.40962,0.00439,0.01557,0.25272,0.00991,0.00988,0.03593,0.0038,0.09736,185
